181
-0.9792590000,2.2351200000,2.6124500000
-1.4449600000,2.5472200000,2.0390600000
-0.4810400000,2.8779700000,1.9424300000
-0.6428480000,2.3454200000,2.5724100000
0.7756310000,3.1495200000,1.8989700000
-1.2342400000,2.7981500000,1.4975100000
-0.3868440000,3.3735400000,1.2748700000
-0.5981760000,3.7551400000,-0.0171330000
-0.2545570000,3.9143200000,0.2733870000
-0.2014050000,4.2007900000,-0.5636630000
-0.3626440000,4.4193500000,-0.6350390000
0.3665730000,4.3140500000,-0.9187230000
0.4331110000,4.0910700000,0.6445670000
0.5036170000,3.8622000000,1.0386800000
1.6078600000,3.8457600000,0.8061780000
1.8033100000,4.0534200000,0.1613860000
1.6873300000,4.1769700000,-0.4435830000
1.1837000000,4.2384300000,-0.9264940000
-0.5267930000,4.4804400000,-0.6340480000
-0.7110190000,3.6712100000,-0.0768640000
-1.4878200000,3.4626900000,-0.6029330000
-1.0092100000,3.1946600000,0.5464480000
-1.5804300000,3.1163300000,0.2012450000
-1.4706200000,4.5568600000,-0.7643560000
-1.5558300000,3.3374900000,-0.9818170000
-2.0000900000,2.9612900000,0.0045800000
-2.7524500000,2.4427000000,0.0902560000
-2.6171400000,2.6105100000,0.3288710000
-3.0245000000,2.0756000000,1.0011000000
-3.1386100000,1.8238700000,0.8172360000
-2.8922600000,2.3150600000,-0.1511150000
-3.2919700000,1.6228100000,0.6082490000
-3.2312900000,1.7036400000,1.0013600000
-3.3898400000,1.4968300000,0.8151300000
-3.0616800000,1.9146200000,1.2249900000
-3.4172000000,1.1836000000,1.7601300000
-3.1540800000,1.3778700000,1.8861400000
-3.8548400000,0.8665250000,1.5973900000
-3.6086400000,0.7465350000,2.3373500000
-4.0451500000,0.5889050000,2.0434600000
-2.9935400000,0.9619260000,2.5719300000
-2.3608800000,1.9599500000,2.0581200000
-2.2075100000,1.4569200000,2.6221900000
-2.5516200000,2.3373400000,1.6212300000
-2.6751000000,2.4762000000,1.3141800000
-1.3271900000,2.0603000000,2.6122600000
-1.6978800000,2.4551500000,2.0729400000
-1.7711000000,2.7976000000,1.6362600000
